Pintu Masuk,,,,,,,,,,,,,
,"Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2008 - sekarang (Kunjungan)",,,,,,,,,,,,
,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
A. Pintu Udara,800527,782600,716819,889460,932847,954625,1131626,-,-,-,-,-,-
Ngurah Rai,500121,486053,465260,552961,578203,604962,697800,-,-,-,-,-,-
Soekarno-Hatta,212826,205165,157262,227830,235207,240681,307051,-,-,-,-,-,-
Juanda,20548,23775,21068,31339,31466,33049,34464,-,-,-,-,-,-
Kualanamu,22421,24710,24087,24640,27844,22882,28104,-,-,-,-,-,-
Husein Sastranegara,0,0,0,0,0,0,0,-,-,-,-,-,-
Adi Sucipto,6791,7384,6530,8689,11692,10887,12380,-,-,-,-,-,-
Bandara Int. Lombok,6305,5154,6428,8686,7987,6980,9039,-,-,-,-,-,-
Sam Ratulangi,7549,9190,9251,9004,8952,8023,10242,-,-,-,-,-,-
Minangkabau,6106,4571,5968,5730,7717,7078,6377,-,-,-,-,-,-
Sultan Syarif Kasim II,2744,2834,4052,2868,4028,2803,2626,-,-,-,-,-,-
Sultan Iskandar Muda,3886,2689,2665,2727,3135,2544,2834,-,-,-,-,-,-
Ahmad Yani,2000,1821,2129,2616,2547,2325,2820,-,-,-,-,-,-
Supadio,2002,2540,2246,1666,2021,1737,2746,-,-,-,-,-,-
Hasanuddin,1515,1410,2344,1922,2063,1363,2415,-,-,-,-,-,-
Sultan Badaruddin II,766,653,1352,935,987,849,942,-,-,-,-,-,-
Pintu Udara Lainnya,4947,4651,6177,7847,8998,8462,11786,-,-,-,-,-,-
B. Pintu Laut,251963,264281,253126,238724,310033,293872,253712,-,-,-,-,-,-
Batam,124205,129627,112290,110535,165444,156984,138360,-,-,-,-,-,-
Tanjung Uban,18660,22235,21678,21430,25087,28365,26098,-,-,-,-,-,-
Tanjung Pinang,4030,5407,5622,5040,6506,5093,3591,-,-,-,-,-,-
Tanjung Balai Karimun,9023,10197,9587,6771,9619,9304,7380,-,-,-,-,-,-
Tanjung Benoa,17,6236,6810,367,48,51,9,-,-,-,-,-,-
Tanjung Mas,1056,8,0,0,0,0,0,-,-,-,-,-,-
Pintu Laut Lainnya,94972,90571,97139,94581,103329,94075,78274,-,-,-,-,-,-
C. Pintu Darat,135930,112809,118221,120467,139207,138078,139699,-,-,-,-,-,-
Jayapura,14993,11971,10808,10844,10767,13608,16024,-,-,-,-,-,-
Atambua,18959,15175,16967,19909,21423,26135,24168,-,-,-,-,-,-
Entikong,2740,3045,3987,2621,5782,3732,3801,-,-,-,-,-,-
Aruk,2729,3516,6297,2458,4858,3653,3113,-,-,-,-,-,-
Nanga Badau,937,945,1051,827,1838,1164,884,-,-,-,-,-,-
Pintu Darat Lainnya,95572,78157,79111,83808,94539,89786,91709,-,-,-,-,-,-
Jumlah (A+B+C),1188420,1159690,1088166,1248651,1382087,1386575,1525037,-,-,-,-,-,-
Lainnya,0,0,0,0,0,0,0,-,-,-,-,-,-
Total,1188420,1159690,1088166,1248651,1382087,1386575,1525037,-,-,-,-,-,-
