Pintu Masuk,,,,,,,,,,,,,
,"Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2008 - sekarang (Kunjungan)",,,,,,,,,,,,
,2017,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
A. Pintu Udara,746666,720428,749150,812927,809941,763470,1002611,1014475,883842,802479,701307,663359,9670655
Ngurah Rai,455930,448157,424134,477408,488698,505976,594238,601553,551968,464703,360043,309440,5682248
Soekarno-Hatta,203067,191933,222497,228611,220817,174669,297360,289000,227687,232014,231183,230483,2749321
Juanda,17279,11998,15844,21461,20447,19658,25252,25330,21890,20439,24360,23208,247166
Kualanamu,18457,15680,20767,19273,19013,18464,20437,25201,19150,20738,23356,26015,246551
Husein Sastranegara,8518,13257,17256,16029,15275,8174,11967,15063,13971,14002,15387,17958,166857
Adi Sucipto,9192,8963,11807,13224,11608,7559,14181,15786,13834,13535,11781,14203,145673
Bandara Int. Lombok,9394,8775,11305,13204,11792,9201,12468,12207,10032,10070,7704,7236,123388
Sam Ratulangi,7697,5149,5168,5927,5632,4708,7330,8906,6335,7714,6493,8616,79675
Minangkabau,4042,4066,4992,4621,4167,3022,4157,5215,4397,4885,4682,8630,56876
Sultan Syarif Kasim II,3274,2909,3612,3554,3578,3504,3543,3590,3066,3026,3225,3224,40105
Sultan Iskandar Muda,2852,3254,3375,2947,2430,1528,2297,2627,2559,2763,2905,3698,33235
Ahmad Yani,1548,1354,1815,1647,1891,1541,2294,2625,2088,2079,2361,2354,23597
Supadio,858,626,899,655,812,1642,1731,2307,2104,1979,2263,2652,18528
Hasanuddin,1812,1263,1530,1179,1131,1240,2132,1743,1604,1448,1538,1715,18335
Sultan Badaruddin II,1060,1156,1468,1154,1010,1136,1220,1418,1256,977,1266,1580,14701
Pintu Udara Lainnya,1686,1888,2681,2033,1640,1448,2004,1904,1901,2107,2760,2347,24399
B. Pintu Laut,230174,186669,220326,233538,209193,233765,226979,235311,229735,222271,230070,324624,2782655
Batam,135046,100329,132551,139361,117372,130541,122869,124044,122835,117589,124833,197347,1564717
Tanjung Uban,26778,21888,25445,28410,25496,34726,32234,37199,31422,32389,30822,44783,371592
Tanjung Pinang,10814,6249,7849,9193,7277,8702,9793,11616,10811,10619,10538,14421,117882
Tanjung Balai Karimun,8175,6022,7526,7902,6627,6433,6136,6620,7093,6368,6969,9900,85771
Tanjung Benoa,8143,5799,2489,3126,3153,497,164,1988,187,2815,2847,790,31998
Tanjung Mas,1790,5166,1397,2587,1378,964,1059,1163,3941,1791,4376,1461,27073
Pintu Laut Lainnya,39428,41216,43069,42959,47890,51902,54724,52681,53446,50700,49685,55922,583622
C. Pintu Darat,131128,116291,90301,124921,129454,146766,141001,143457,136654,136815,130653,159048,1586489
Jayapura,12417,7176,6523,10078,10042,10488,9053,9043,9981,10359,13651,16246,125057
Atambua,4740,4017,3768,5843,2096,6238,5476,6120,6455,6167,5976,7081,63977
Entikong,2091,1354,2209,1720,1935,2157,1117,1255,2042,1095,1092,2818,20885
Aruk,414,511,433,539,438,1460,1087,814,802,870,809,1919,10096
Nanga Badau,810,551,549,528,808,858,610,933,673,760,704,1199,8983
Pintu Darat Lainnya,110656,102682,76819,106213,114135,125565,123658,125292,116701,117564,108421,129785,1357491
Jumlah (A+B+C),1107968,1023388,1059777,1171386,1148588,1144001,1370591,1393243,1250231,1161565,1062030,1147031,14039799
Lainnya,-,-,-,-,-,-,-,-,-,-,-,-,-
Total,1107968,1023388,1059777,1171386,1148588,1144001,1370591,1393243,1250231,1161565,1062030,1147031,14039799
