Pintu Masuk,,,,,,,,,,,,,
,"Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2008 - sekarang (Kunjungan)",,,,,,,,,,,,
,2016,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
A. Pintu Udara,548863,592968,631176,640094,661824,611469,785275,793587,760591,757044,706431,738303,8227625
Ngurah Rai,343663,367024,354778,367370,394443,405686,482201,437929,442304,423140,396150,437946,4852634
Soekarno-Hatta,153503,164317,202669,188369,187545,150956,217452,270496,229964,237914,219246,193629,2416060
Juanda,11674,14955,17894,18186,18386,14755,20424,19029,19907,20819,23126,21415,220570
Kualanamu,10080,14851,15730,13280,15515,12746,17999,15890,19221,21300,21083,26252,203947
Husein Sastranegara,10964,8402,15828,30806,16699,8881,9453,12500,14995,17340,12755,22410,181033
Adi Sucipto,6415,7899,6805,7223,10919,6853,11177,11718,10696,11267,10209,10877,112058
Bandara Int. Lombok,5162,6184,7356,5407,7634,4452,9653,9127,8756,9500,7813,9694,90738
Sam Ratulangi,625,1535,1297,1427,1018,1295,7677,7904,5965,3791,4270,3820,40624
Minangkabau,3378,3892,4428,4063,4854,2104,4094,4224,3329,4980,5115,5225,49686
Sultan Syarif Kasim II,1523,1912,2090,1786,2494,1751,2654,2362,2822,3279,3280,3973,29926
Sultan Iskandar Muda,-,-,-,-,-,-,-,-,-,-,-,-,-
Ahmad Yani,-,-,-,-,-,-,-,-,-,-,-,-,-
Supadio,-,-,-,-,-,-,-,-,-,-,-,-,-
Hasanuddin,755,876,1180,1056,1196,869,1370,1287,1511,2593,2263,1941,16897
Sultan Badaruddin II,-,-,-,-,-,-,-,-,-,-,-,-,-
Pintu Udara Lainnya,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,13452
B. Pintu Laut,148144,172209,172770,169731,177581,170910,142820,146917,160347,155045,147629,216451,1980554
Batam,108888,120351,125324,125573,132410,121253,103647,99724,115052,114020,106953,159277,1432472
Tanjung Uban,21484,27642,25577,23018,23338,31465,20389,29491,25051,23145,21984,32820,305404
Tanjung Pinang,5971,8407,8656,8042,8162,7930,6932,6166,8474,6800,6854,10855,93249
Tanjung Balai Karimun,6735,8985,7820,8201,8466,5201,7599,6674,7668,6724,6254,8780,89107
Tanjung Benoa,-,-,-,-,-,-,-,-,-,-,-,-,-
Tanjung Mas,-,-,-,-,-,-,-,-,-,-,-,-,-
Pintu Laut Lainnya,5066,6824,5393,4897,5205,5061,4253,4862,4102,4356,5584,4719,60322
C. Pintu Darat,36791,38740,30704,23577,21022,22609,28095,26406,23900,35085,49268,60278,396475
Jayapura,-,-,-,-,-,-,-,-,-,-,-,-,-
Atambua,-,-,-,-,-,-,-,-,-,-,-,-,-
Entikong,1050,2307,1937,1426,2046,1515,2360,2319,2148,1494,1610,3433,23645
Aruk,-,-,-,-,-,-,-,-,-,-,-,-,-
Nanga Badau,-,-,-,-,-,-,-,-,-,-,-,-,-
Pintu Darat Lainnya,35741,36433,28767,22151,18976,21094,25735,24087,21752,33591,47658,56845,372830
Jumlah (A+B+C),733798,803917,834650,833402,860427,804988,956190,966910,944838,947174,903328,1015032,10604654
Lainnya,80505,83758,80134,67711,54507,52402,75312,63444,62293,93471,99130,98655,911322
Total,814303,887675,914784,901113,914934,857390,1031502,1030354,1007131,1040645,1002458,1113687,11515976
