Pintu Masuk,,,,,,,,,,,,,
,"Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2008 - sekarang (Kunjungan)",,,,,,,,,,,,
,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
A. Pintu Udara,801614,718609,669479,854756,941092,978929,1101619,1108133,996518,954216,805662,888664,10819291
Ngurah Rai,526831,444411,464697,587315,602055,637744,697068,682839,634482,594846,476507,558790,6907585
Soekarno-Hatta,193433,199306,146390,186523,233751,236013,290369,304970,244404,254968,240330,230381,2760838
Juanda,22119,19205,15647,24800,33409,34092,34421,37406,32664,29534,21629,25019,329945
Kualanamu,23011,22546,16881,19709,26183,25183,28306,29858,29107,24621,20826,23425,289656
Husein Sastranegara,0,0,0,0,0,0,0,0,0,0,0,0,0
Adi Sucipto,6717,6087,3185,7135,9699,10424,11322,12554,10960,8712,8005,8017,102817
Bandara Int. Lombok,6295,4926,5441,7812,8641,7784,10512,10207,9333,9321,6689,7714,94675
Sam Ratulangi,3788,3497,4403,4070,3902,3742,5903,5656,5600,6513,7401,7020,61495
Minangkabau,8490,7810,3649,6270,8312,8621,7674,8216,9699,7588,6611,7081,90021
Sultan Syarif Kasim II,2684,2446,2612,2793,3277,3443,2688,3201,3938,3091,3210,3775,37158
Sultan Iskandar Muda,3811,3825,1512,2184,4003,3607,4088,4305,5390,4257,3627,4217,44826
Ahmad Yani,0,0,0,0,0,4,11,0,1381,1618,1365,1627,6006
Supadio,1,0,0,0,0,0,29,0,1838,1674,1693,2371,7606
Hasanuddin,1203,979,1300,827,1468,1959,1781,1814,1594,1565,1306,2321,18117
Sultan Badaruddin II,0,0,4,1,11,2,204,1138,933,834,1110,837,5074
Pintu Udara Lainnya,3231,3571,3758,5317,6381,6311,7243,5969,5195,5074,5353,6069,63472
B. Pintu Laut,232267,203450,206397,200550,244169,307815,242599,263040,264693,260124,250166,353577,3028847
Batam,123223,103491,99412,99257,139491,166223,121487,144698,140073,137435,125503,193464,1593757
Tanjung Uban,15791,9815,17619,15254,20284,32073,21939,24930,20974,22633,16867,35187,253366
Tanjung Pinang,5583,4095,5218,4995,6071,6603,4620,4909,4971,5285,4880,6076,63306
Tanjung Balai Karimun,8038,7099,5773,6137,9131,9531,7927,8272,8364,8541,7938,10212,96963
Tanjung Benoa,976,2219,6154,3906,158,124,39,27,667,7,6857,6844,27978
Tanjung Mas,640,0,1129,535,0,619,0,0,0,0,1722,0,4645
Pintu Laut Lainnya,78016,76731,71092,70466,69034,92642,86587,80204,89644,86223,86399,101794,988832
C. Pintu Darat,122131,100835,108893,109233,120739,130352,137128,134047,133699,134653,143179,163619,1538508
Jayapura,12617,11015,5943,9296,9107,10569,11553,10344,12494,11274,11230,17405,132847
Atambua,11445,10244,13058,14292,15441,17380,21031,20318,18282,21420,20476,29738,213125
Entikong,4130,3482,2923,2719,5321,4734,3534,3803,4446,3135,2880,5269,46376
Aruk,3870,3482,3338,2583,3746,4858,2692,2973,3921,3097,2391,4038,40989
Nanga Badau,1143,935,974,798,1716,1259,1047,1116,991,918,816,1782,13495
Pintu Darat Lainnya,88926,71677,82657,79545,85408,91552,97271,95493,93565,94809,105386,105387,1091676
Jumlah (A+B+C),1156012,1022894,984769,1164539,1306000,1417096,1481346,1505220,1394910,1348993,1199007,1405860,15386646
Lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,1156012,1022894,984769,1164539,1306000,1417096,1481346,1505220,1394910,1348993,1199007,1405860,15386646
