Pintu Masuk,,,,,,,,,,,,,
,"Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2008 - sekarang (Kunjungan)",,,,,,,,,,,,
,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
A. Pintu Udara,1731,7110,12852,18326,14040,16234,7175,1609,4748,15722,19909,17786,137242
Ngurah Rai,2,12,3,9,8,1,0,0,0,2,6,0,43
Soekarno-Hatta,1238,5958,10188,15471,12775,13448,5466,1071,4081,13700,18971,16696,119063
Juanda,20,69,52,106,160,181,52,10,2,37,0,0,689
Kualanamu,11,17,45,22,50,38,28,4,3,0,0,0,218
Husein Sastranegara,0,0,0,0,1,0,0,0,0,0,6,0,7
Adi Sucipto,0,0,0,0,0,0,0,0,0,0,0,0,0
Bandara Int. Lombok,1,0,2,0,0,0,0,26,0,0,0,0,29
Sam Ratulangi,433,1027,2513,2685,1015,2435,695,5,593,1952,851,1035,15239
Minangkabau,0,0,0,0,0,0,0,0,0,0,0,0,0
Sultan Syarif Kasim II,1,3,8,1,0,88,0,0,0,0,0,0,101
Sultan Iskandar Muda,0,0,0,1,4,3,1,0,0,0,0,2,11
Ahmad Yani,0,0,2,2,1,3,0,0,0,0,0,0,8
Supadio,0,0,0,0,0,0,0,0,0,0,0,0,0
Hasanuddin,0,0,0,0,0,0,0,0,0,0,0,0,0
Sultan Badaruddin II,0,0,0,0,0,0,804,477,0,0,0,0,1281
Pintu Udara Lainnya,25,24,39,29,26,37,129,16,69,31,75,53,553
B. Pintu Laut,37667,29300,35317,30918,39720,29929,35511,33497,33397,38245,32741,39230,415472
Batam,260,157,343,191,245,250,153,149,129,158,234,313,2582
Tanjung Uban,0,0,81,10,20,20,0,0,0,0,51,77,259
Tanjung Pinang,0,0,0,0,0,0,0,0,0,0,0,154,154
Tanjung Balai Karimun,0,15,0,0,0,0,0,0,0,0,0,0,15
Tanjung Benoa,8,0,0,0,0,0,0,0,0,0,0,0,8
Tanjung Mas,-,-,-,-,-,-,-,-,-,-,-,-,0
Pintu Laut Lainnya,37399,29128,34893,30717,39455,29659,35358,33348,33268,38087,32456,38686,412454
C. Pintu Darat,87117,69378,71810,63512,85673,80681,84563,83427,81955,92170,97927,106603,1004816
Jayapura,2,2,0,3,0,0,0,0,3,0,0,3,13
Atambua,4,26,0,3,13,152,12,12,73,64,142,184,685
Entikong,6,11,14,2,0,0,1,0,0,0,2,10,46
Aruk,3,2,13,1,1,0,1,0,0,1,3,2,27
Nanga Badau,0,0,0,0,0,0,0,0,0,0,0,0,0
Pintu Darat Lainnya,87102,69337,71783,63503,85659,80529,84549,83415,81879,92105,97780,106404,1004045
Jumlah (A+B+C),126515,105788,119979,112756,139433,126844,127249,118533,120100,146137,150577,163619,1557530
Lainnya,-,-,-,-,-,-,-,-,-,-,-,-,-
Total,126515,105788,119979,112756,139433,126844,127249,118533,120100,146137,150577,163619,1557530
