Pintu Masuk,,,,,,,,,,,,,
,"Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2008 - sekarang (Kunjungan)",,,,,,,,,,,,
,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
A. Pintu Udara,14555,17834,39062,97401,183830,280482,387184,422500,424198,447074,429979,551927,3296026
Ngurah Rai,0,1293,14617,58315,115553,181545,246442,276627,291115,305152,287025,376361,2154045
Soekarno-Hatta,14073,15406,23320,36061,57844,85587,119179,121427,111033,112527,113729,124475,934661
Juanda,0,0,57,1468,4598,4722,6087,8386,9152,9415,9644,14264,67793
Kualanamu,0,0,11,494,3861,5165,7518,10287,5895,11454,10615,19198,74498
Husein Sastranegara,0,0,0,0,0,49,21,15,0,0,0,0,85
Adi Sucipto,0,0,0,35,260,369,809,640,974,1933,1947,5169,12136
Bandara Int. Lombok,0,488,12,0,487,1011,1658,2054,2251,2226,1921,2914,15022
Sam Ratulangi,466,647,1045,851,843,1472,1684,1758,2178,1581,1721,1142,15388
Minangkabau,0,0,0,0,0,0,0,0,0,371,709,3062,4142
Sultan Syarif Kasim II,0,0,0,0,0,0,32,117,272,632,955,1977,3985
Sultan Iskandar Muda,0,0,0,0,0,0,0,0,0,257,452,1177,1886
Ahmad Yani,0,0,0,0,0,0,0,0,0,0,0,0,0
Supadio,0,0,0,0,0,0,0,0,0,0,0,0,0
Hasanuddin,0,0,0,164,364,523,706,503,701,897,526,1530,5914
Sultan Badaruddin II,0,0,0,0,0,8,1024,4,4,90,0,0,1130
Pintu Udara Lainnya,16,0,0,13,20,31,2024,682,623,539,735,658,5341
B. Pintu Laut,58442,51539,60357,69085,105719,134664,184193,164918,196668,207390,193894,299967,1726836
Batam,240,329,995,8136,16741,39649,56610,59750,77981,77752,80216,144521,562920
Tanjung Uban,88,31,367,2998,5281,12509,16988,13277,18218,19932,16473,31367,137529
Tanjung Pinang,0,4,1,660,1141,2758,1965,2801,3716,3912,3117,5475,25550
Tanjung Balai Karimun,0,0,0,0,659,2519,4122,3139,4188,4085,3588,6684,28984
Tanjung Benoa,3,17,3,20,58,80,62,32,46,92,373,914,1700
Tanjung Mas,-,-,-,-,-,-,-,-,-,-,-,-,-
Pintu Laut Lainnya,58111,51158,58991,57271,81839,77149,104446,85919,92519,101617,90127,111006,970153
C. Pintu Darat,63301,48136,59210,63590,65371,68737,73744,83091,79740,79764,80910,100575,866169
Jayapura,0,0,0,20,0,0,0,0,0,78,166,184,448
Atambua,234,226,317,737,1203,1792,1149,3120,2672,2646,2511,4300,20907
Entikong,0,0,2,254,556,789,646,745,1360,1804,1771,3877,11804
Aruk,0,0,0,218,622,969,1792,1149,1692,2116,1197,3020,12775
Nanga Badau,0,0,0,0,0,0,15,318,425,347,291,1153,2549
Pintu Darat Lainnya,63067,47910,58891,62361,62990,65187,70142,77759,73591,72773,74974,88041,817686
Jumlah (A+B+C),136298,117509,158629,230076,354920,483883,645121,670509,700606,734228,704783,952469,5889031
Lainnya,-,-,-,-,-,-,-,-,-,-,-,-,-
Total,136298,117509,158629,230076,354920,483883,645121,670509,700606,734228,704783,952469,5889031
