Pintu Masuk,,,,,,,,,,,,,
,"Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2008 - sekarang (Kunjungan)",,,,,,,,,,,,
,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
A. Pintu Udara,484497,487449,554665,560434,659065,707476,819496,826446,777537,707584,656709,731293,7972651
Ngurah Rai,329909,317005,366956,410281,439454,478127,541272,522063,508297,458845,397522,478382,5248113
Soekarno-Hatta,115101,124803,140859,99289,158550,161114,204000,218512,190058,181627,186695,172397,1953005
Juanda,10777,11882,10606,12361,15734,18025,20303,25548,25593,21996,22389,23244,218458
Kualanamu,14146,15072,16106,15497,16262,16527,17478,20843,15783,14161,16363,18237,196475
Husein Sastranegara,0,0,0,0,17,24,3,0,0,0,0,0,44
Adi Sucipto,3878,4839,5007,5592,8160,11188,12444,12974,11855,8536,9675,11338,105486
Bandara Int. Lombok,2202,2355,2099,2903,4848,5721,6433,6245,6294,5904,5278,7304,57586
Sam Ratulangi,803,1848,4793,4156,3798,3691,3782,5397,5922,4645,4611,3917,47363
Minangkabau,2878,3590,2765,4100,4624,5226,4946,5577,5453,4925,5898,6710,56692
Sultan Syarif Kasim II,1624,1914,1697,2453,2293,2447,2111,2770,2166,2377,2921,2964,27737
Sultan Iskandar Muda,1440,2024,1901,1349,2350,2157,2582,3108,2481,1875,2577,3461,27305
Ahmad Yani,1,1,1,0,0,0,0,0,8,0,0,0,11
Supadio,0,1,0,0,0,0,0,0,0,0,0,2,3
Hasanuddin,1066,1469,921,1564,1432,1888,1755,1609,1787,1175,1194,1500,17360
Sultan Badaruddin II,0,1,1,0,0,0,11,4,0,0,1,6,24
Pintu Udara Lainnya,672,645,953,889,1543,1341,2376,1796,1840,1518,1585,1831,16989
B. Pintu Laut,224851,191063,236181,235660,214326,276039,225106,220199,212770,186161,190258,291763,2704377
Batam,93781,73090,97040,88776,76577,133616,94373,94601,101470,79646,103497,149218,1185685
Tanjung Uban,14957,11265,19018,18547,15001,26345,17619,19237,20542,16838,16544,26205,222118
Tanjung Pinang,4973,2663,4043,5324,3391,6086,4010,4222,4827,5065,5912,7022,57538
Tanjung Balai Karimun,5814,4795,4835,5801,3590,4734,4391,4173,4345,4298,4683,6634,58093
Tanjung Benoa,1876,6505,3738,1229,21,71,81,78,53,2596,5632,801,22681
Tanjung Mas,-,-,-,-,-,-,-,-,-,-,-,-,-
Pintu Laut Lainnya,103450,92745,107507,115983,115746,105187,104632,97888,81533,77718,53990,101883,1158262
C. Pintu Darat,89121,70924,78398,69717,80323,79276,76587,85993,79938,84774,84260,121486,1000797
Jayapura,132,86,106,91,8251,9933,7723,8335,8408,9174,3729,11445,67413
Atambua,2514,4212,7016,7322,6651,8267,8198,11895,8942,9700,8838,12678,96233
Entikong,2508,2725,2905,2929,2856,2819,2639,3488,2418,2274,2364,4522,34447
Aruk,2542,2503,2169,3592,2057,2755,1832,2653,1878,1721,1790,3605,29097
Nanga Badau,718,615,669,735,1324,1045,727,628,680,674,724,1363,9902
Pintu Darat Lainnya,80707,60783,65533,55048,59184,54457,55468,58994,57612,61231,66815,87873,763705
Jumlah (A+B+C),798469,749436,869244,865811,953714,1062791,1121189,1132638,1070245,978519,931227,1144542,11677825
Lainnya,-,-,-,-,-,-,-,-,-,-,-,-,-
Total,798469,749436,869244,865811,953714,1062791,1121189,1132638,1070245,978519,931227,1144542,11677825
