Pintu Masuk,Bulan,Jumlah,Jenis Data,Tahun,Bulan_Num,Tanggal
A. Pintu Udara,Januari,548863.0,Sub-Total,2016,1,2016-01-01
Ngurah Rai,Januari,343663.0,Pintu Masuk,2016,1,2016-01-01
Soekarno-Hatta,Januari,153503.0,Pintu Masuk,2016,1,2016-01-01
Juanda,Januari,11674.0,Pintu Masuk,2016,1,2016-01-01
Kualanamu,Januari,10080.0,Pintu Masuk,2016,1,2016-01-01
Husein Sastranegara,Januari,10964.0,Pintu Masuk,2016,1,2016-01-01
Adi Sucipto,Januari,6415.0,Pintu Masuk,2016,1,2016-01-01
Bandara Int. Lombok,Januari,5162.0,Pintu Masuk,2016,1,2016-01-01
Sam Ratulangi,Januari,625.0,Pintu Masuk,2016,1,2016-01-01
Minangkabau,Januari,3378.0,Pintu Masuk,2016,1,2016-01-01
Sultan Syarif Kasim II,Januari,1523.0,Pintu Masuk,2016,1,2016-01-01
Sultan Iskandar Muda,Januari,,Pintu Masuk,2016,1,2016-01-01
Ahmad Yani,Januari,,Pintu Masuk,2016,1,2016-01-01
Supadio,Januari,,Pintu Masuk,2016,1,2016-01-01
Hasanuddin,Januari,755.0,Pintu Masuk,2016,1,2016-01-01
Sultan Badaruddin II,Januari,,Pintu Masuk,2016,1,2016-01-01
Pintu Udara Lainnya,Januari,1121.0,Pintu Masuk Lainnya,2016,1,2016-01-01
B. Pintu Laut,Januari,148144.0,Sub-Total,2016,1,2016-01-01
Batam,Januari,108888.0,Pintu Masuk,2016,1,2016-01-01
Tanjung Uban,Januari,21484.0,Pintu Masuk,2016,1,2016-01-01
Tanjung Pinang,Januari,5971.0,Pintu Masuk,2016,1,2016-01-01
Tanjung Balai Karimun,Januari,6735.0,Pintu Masuk,2016,1,2016-01-01
Tanjung Benoa,Januari,,Pintu Masuk,2016,1,2016-01-01
Tanjung Mas,Januari,,Pintu Masuk,2016,1,2016-01-01
Pintu Laut Lainnya,Januari,5066.0,Pintu Masuk Lainnya,2016,1,2016-01-01
C. Pintu Darat,Januari,36791.0,Sub-Total,2016,1,2016-01-01
Jayapura,Januari,,Pintu Masuk,2016,1,2016-01-01
Atambua,Januari,,Pintu Masuk,2016,1,2016-01-01
Entikong,Januari,1050.0,Pintu Masuk,2016,1,2016-01-01
Aruk,Januari,,Pintu Masuk,2016,1,2016-01-01
Nanga Badau,Januari,,Pintu Masuk,2016,1,2016-01-01
Pintu Darat Lainnya,Januari,35741.0,Pintu Masuk Lainnya,2016,1,2016-01-01
Jumlah (A+B+C),Januari,733798.0,Grand Total,2016,1,2016-01-01
Lainnya,Januari,80505.0,Pintu Masuk Lainnya,2016,1,2016-01-01
Total,Januari,814303.0,Grand Total,2016,1,2016-01-01
A. Pintu Udara,Februari,592968.0,Sub-Total,2016,2,2016-02-01
Ngurah Rai,Februari,367024.0,Pintu Masuk,2016,2,2016-02-01
Soekarno-Hatta,Februari,164317.0,Pintu Masuk,2016,2,2016-02-01
Juanda,Februari,14955.0,Pintu Masuk,2016,2,2016-02-01
Kualanamu,Februari,14851.0,Pintu Masuk,2016,2,2016-02-01
Husein Sastranegara,Februari,8402.0,Pintu Masuk,2016,2,2016-02-01
Adi Sucipto,Februari,7899.0,Pintu Masuk,2016,2,2016-02-01
Bandara Int. Lombok,Februari,6184.0,Pintu Masuk,2016,2,2016-02-01
Sam Ratulangi,Februari,1535.0,Pintu Masuk,2016,2,2016-02-01
Minangkabau,Februari,3892.0,Pintu Masuk,2016,2,2016-02-01
Sultan Syarif Kasim II,Februari,1912.0,Pintu Masuk,2016,2,2016-02-01
Sultan Iskandar Muda,Februari,,Pintu Masuk,2016,2,2016-02-01
Ahmad Yani,Februari,,Pintu Masuk,2016,2,2016-02-01
Supadio,Februari,,Pintu Masuk,2016,2,2016-02-01
Hasanuddin,Februari,876.0,Pintu Masuk,2016,2,2016-02-01
Sultan Badaruddin II,Februari,,Pintu Masuk,2016,2,2016-02-01
Pintu Udara Lainnya,Februari,1121.0,Pintu Masuk Lainnya,2016,2,2016-02-01
B. Pintu Laut,Februari,172209.0,Sub-Total,2016,2,2016-02-01
Batam,Februari,120351.0,Pintu Masuk,2016,2,2016-02-01
Tanjung Uban,Februari,27642.0,Pintu Masuk,2016,2,2016-02-01
Tanjung Pinang,Februari,8407.0,Pintu Masuk,2016,2,2016-02-01
Tanjung Balai Karimun,Februari,8985.0,Pintu Masuk,2016,2,2016-02-01
Tanjung Benoa,Februari,,Pintu Masuk,2016,2,2016-02-01
Tanjung Mas,Februari,,Pintu Masuk,2016,2,2016-02-01
Pintu Laut Lainnya,Februari,6824.0,Pintu Masuk Lainnya,2016,2,2016-02-01
C. Pintu Darat,Februari,38740.0,Sub-Total,2016,2,2016-02-01
Jayapura,Februari,,Pintu Masuk,2016,2,2016-02-01
Atambua,Februari,,Pintu Masuk,2016,2,2016-02-01
Entikong,Februari,2307.0,Pintu Masuk,2016,2,2016-02-01
Aruk,Februari,,Pintu Masuk,2016,2,2016-02-01
Nanga Badau,Februari,,Pintu Masuk,2016,2,2016-02-01
Pintu Darat Lainnya,Februari,36433.0,Pintu Masuk Lainnya,2016,2,2016-02-01
Jumlah (A+B+C),Februari,803917.0,Grand Total,2016,2,2016-02-01
Lainnya,Februari,83758.0,Pintu Masuk Lainnya,2016,2,2016-02-01
Total,Februari,887675.0,Grand Total,2016,2,2016-02-01
A. Pintu Udara,Maret,631176.0,Sub-Total,2016,3,2016-03-01
Ngurah Rai,Maret,354778.0,Pintu Masuk,2016,3,2016-03-01
Soekarno-Hatta,Maret,202669.0,Pintu Masuk,2016,3,2016-03-01
Juanda,Maret,17894.0,Pintu Masuk,2016,3,2016-03-01
Kualanamu,Maret,15730.0,Pintu Masuk,2016,3,2016-03-01
Husein Sastranegara,Maret,15828.0,Pintu Masuk,2016,3,2016-03-01
Adi Sucipto,Maret,6805.0,Pintu Masuk,2016,3,2016-03-01
Bandara Int. Lombok,Maret,7356.0,Pintu Masuk,2016,3,2016-03-01
Sam Ratulangi,Maret,1297.0,Pintu Masuk,2016,3,2016-03-01
Minangkabau,Maret,4428.0,Pintu Masuk,2016,3,2016-03-01
Sultan Syarif Kasim II,Maret,2090.0,Pintu Masuk,2016,3,2016-03-01
Sultan Iskandar Muda,Maret,,Pintu Masuk,2016,3,2016-03-01
Ahmad Yani,Maret,,Pintu Masuk,2016,3,2016-03-01
Supadio,Maret,,Pintu Masuk,2016,3,2016-03-01
Hasanuddin,Maret,1180.0,Pintu Masuk,2016,3,2016-03-01
Sultan Badaruddin II,Maret,,Pintu Masuk,2016,3,2016-03-01
Pintu Udara Lainnya,Maret,1121.0,Pintu Masuk Lainnya,2016,3,2016-03-01
B. Pintu Laut,Maret,172770.0,Sub-Total,2016,3,2016-03-01
Batam,Maret,125324.0,Pintu Masuk,2016,3,2016-03-01
Tanjung Uban,Maret,25577.0,Pintu Masuk,2016,3,2016-03-01
Tanjung Pinang,Maret,8656.0,Pintu Masuk,2016,3,2016-03-01
Tanjung Balai Karimun,Maret,7820.0,Pintu Masuk,2016,3,2016-03-01
Tanjung Benoa,Maret,,Pintu Masuk,2016,3,2016-03-01
Tanjung Mas,Maret,,Pintu Masuk,2016,3,2016-03-01
Pintu Laut Lainnya,Maret,5393.0,Pintu Masuk Lainnya,2016,3,2016-03-01
C. Pintu Darat,Maret,30704.0,Sub-Total,2016,3,2016-03-01
Jayapura,Maret,,Pintu Masuk,2016,3,2016-03-01
Atambua,Maret,,Pintu Masuk,2016,3,2016-03-01
Entikong,Maret,1937.0,Pintu Masuk,2016,3,2016-03-01
Aruk,Maret,,Pintu Masuk,2016,3,2016-03-01
Nanga Badau,Maret,,Pintu Masuk,2016,3,2016-03-01
Pintu Darat Lainnya,Maret,28767.0,Pintu Masuk Lainnya,2016,3,2016-03-01
Jumlah (A+B+C),Maret,834650.0,Grand Total,2016,3,2016-03-01
Lainnya,Maret,80134.0,Pintu Masuk Lainnya,2016,3,2016-03-01
Total,Maret,914784.0,Grand Total,2016,3,2016-03-01
A. Pintu Udara,April,640094.0,Sub-Total,2016,4,2016-04-01
Ngurah Rai,April,367370.0,Pintu Masuk,2016,4,2016-04-01
Soekarno-Hatta,April,188369.0,Pintu Masuk,2016,4,2016-04-01
Juanda,April,18186.0,Pintu Masuk,2016,4,2016-04-01
Kualanamu,April,13280.0,Pintu Masuk,2016,4,2016-04-01
Husein Sastranegara,April,30806.0,Pintu Masuk,2016,4,2016-04-01
Adi Sucipto,April,7223.0,Pintu Masuk,2016,4,2016-04-01
Bandara Int. Lombok,April,5407.0,Pintu Masuk,2016,4,2016-04-01
Sam Ratulangi,April,1427.0,Pintu Masuk,2016,4,2016-04-01
Minangkabau,April,4063.0,Pintu Masuk,2016,4,2016-04-01
Sultan Syarif Kasim II,April,1786.0,Pintu Masuk,2016,4,2016-04-01
Sultan Iskandar Muda,April,,Pintu Masuk,2016,4,2016-04-01
Ahmad Yani,April,,Pintu Masuk,2016,4,2016-04-01
Supadio,April,,Pintu Masuk,2016,4,2016-04-01
Hasanuddin,April,1056.0,Pintu Masuk,2016,4,2016-04-01
Sultan Badaruddin II,April,,Pintu Masuk,2016,4,2016-04-01
Pintu Udara Lainnya,April,1121.0,Pintu Masuk Lainnya,2016,4,2016-04-01
B. Pintu Laut,April,169731.0,Sub-Total,2016,4,2016-04-01
Batam,April,125573.0,Pintu Masuk,2016,4,2016-04-01
Tanjung Uban,April,23018.0,Pintu Masuk,2016,4,2016-04-01
Tanjung Pinang,April,8042.0,Pintu Masuk,2016,4,2016-04-01
Tanjung Balai Karimun,April,8201.0,Pintu Masuk,2016,4,2016-04-01
Tanjung Benoa,April,,Pintu Masuk,2016,4,2016-04-01
Tanjung Mas,April,,Pintu Masuk,2016,4,2016-04-01
Pintu Laut Lainnya,April,4897.0,Pintu Masuk Lainnya,2016,4,2016-04-01
C. Pintu Darat,April,23577.0,Sub-Total,2016,4,2016-04-01
Jayapura,April,,Pintu Masuk,2016,4,2016-04-01
Atambua,April,,Pintu Masuk,2016,4,2016-04-01
Entikong,April,1426.0,Pintu Masuk,2016,4,2016-04-01
Aruk,April,,Pintu Masuk,2016,4,2016-04-01
Nanga Badau,April,,Pintu Masuk,2016,4,2016-04-01
Pintu Darat Lainnya,April,22151.0,Pintu Masuk Lainnya,2016,4,2016-04-01
Jumlah (A+B+C),April,833402.0,Grand Total,2016,4,2016-04-01
Lainnya,April,67711.0,Pintu Masuk Lainnya,2016,4,2016-04-01
Total,April,901113.0,Grand Total,2016,4,2016-04-01
A. Pintu Udara,Mei,661824.0,Sub-Total,2016,5,2016-05-01
Ngurah Rai,Mei,394443.0,Pintu Masuk,2016,5,2016-05-01
Soekarno-Hatta,Mei,187545.0,Pintu Masuk,2016,5,2016-05-01
Juanda,Mei,18386.0,Pintu Masuk,2016,5,2016-05-01
Kualanamu,Mei,15515.0,Pintu Masuk,2016,5,2016-05-01
Husein Sastranegara,Mei,16699.0,Pintu Masuk,2016,5,2016-05-01
Adi Sucipto,Mei,10919.0,Pintu Masuk,2016,5,2016-05-01
Bandara Int. Lombok,Mei,7634.0,Pintu Masuk,2016,5,2016-05-01
Sam Ratulangi,Mei,1018.0,Pintu Masuk,2016,5,2016-05-01
Minangkabau,Mei,4854.0,Pintu Masuk,2016,5,2016-05-01
Sultan Syarif Kasim II,Mei,2494.0,Pintu Masuk,2016,5,2016-05-01
Sultan Iskandar Muda,Mei,,Pintu Masuk,2016,5,2016-05-01
Ahmad Yani,Mei,,Pintu Masuk,2016,5,2016-05-01
Supadio,Mei,,Pintu Masuk,2016,5,2016-05-01
Hasanuddin,Mei,1196.0,Pintu Masuk,2016,5,2016-05-01
Sultan Badaruddin II,Mei,,Pintu Masuk,2016,5,2016-05-01
Pintu Udara Lainnya,Mei,1121.0,Pintu Masuk Lainnya,2016,5,2016-05-01
B. Pintu Laut,Mei,177581.0,Sub-Total,2016,5,2016-05-01
Batam,Mei,132410.0,Pintu Masuk,2016,5,2016-05-01
Tanjung Uban,Mei,23338.0,Pintu Masuk,2016,5,2016-05-01
Tanjung Pinang,Mei,8162.0,Pintu Masuk,2016,5,2016-05-01
Tanjung Balai Karimun,Mei,8466.0,Pintu Masuk,2016,5,2016-05-01
Tanjung Benoa,Mei,,Pintu Masuk,2016,5,2016-05-01
Tanjung Mas,Mei,,Pintu Masuk,2016,5,2016-05-01
Pintu Laut Lainnya,Mei,5205.0,Pintu Masuk Lainnya,2016,5,2016-05-01
C. Pintu Darat,Mei,21022.0,Sub-Total,2016,5,2016-05-01
Jayapura,Mei,,Pintu Masuk,2016,5,2016-05-01
Atambua,Mei,,Pintu Masuk,2016,5,2016-05-01
Entikong,Mei,2046.0,Pintu Masuk,2016,5,2016-05-01
Aruk,Mei,,Pintu Masuk,2016,5,2016-05-01
Nanga Badau,Mei,,Pintu Masuk,2016,5,2016-05-01
Pintu Darat Lainnya,Mei,18976.0,Pintu Masuk Lainnya,2016,5,2016-05-01
Jumlah (A+B+C),Mei,860427.0,Grand Total,2016,5,2016-05-01
Lainnya,Mei,54507.0,Pintu Masuk Lainnya,2016,5,2016-05-01
Total,Mei,914934.0,Grand Total,2016,5,2016-05-01
A. Pintu Udara,Juni,611469.0,Sub-Total,2016,6,2016-06-01
Ngurah Rai,Juni,405686.0,Pintu Masuk,2016,6,2016-06-01
Soekarno-Hatta,Juni,150956.0,Pintu Masuk,2016,6,2016-06-01
Juanda,Juni,14755.0,Pintu Masuk,2016,6,2016-06-01
Kualanamu,Juni,12746.0,Pintu Masuk,2016,6,2016-06-01
Husein Sastranegara,Juni,8881.0,Pintu Masuk,2016,6,2016-06-01
Adi Sucipto,Juni,6853.0,Pintu Masuk,2016,6,2016-06-01
Bandara Int. Lombok,Juni,4452.0,Pintu Masuk,2016,6,2016-06-01
Sam Ratulangi,Juni,1295.0,Pintu Masuk,2016,6,2016-06-01
Minangkabau,Juni,2104.0,Pintu Masuk,2016,6,2016-06-01
Sultan Syarif Kasim II,Juni,1751.0,Pintu Masuk,2016,6,2016-06-01
Sultan Iskandar Muda,Juni,,Pintu Masuk,2016,6,2016-06-01
Ahmad Yani,Juni,,Pintu Masuk,2016,6,2016-06-01
Supadio,Juni,,Pintu Masuk,2016,6,2016-06-01
Hasanuddin,Juni,869.0,Pintu Masuk,2016,6,2016-06-01
Sultan Badaruddin II,Juni,,Pintu Masuk,2016,6,2016-06-01
Pintu Udara Lainnya,Juni,1121.0,Pintu Masuk Lainnya,2016,6,2016-06-01
B. Pintu Laut,Juni,170910.0,Sub-Total,2016,6,2016-06-01
Batam,Juni,121253.0,Pintu Masuk,2016,6,2016-06-01
Tanjung Uban,Juni,31465.0,Pintu Masuk,2016,6,2016-06-01
Tanjung Pinang,Juni,7930.0,Pintu Masuk,2016,6,2016-06-01
Tanjung Balai Karimun,Juni,5201.0,Pintu Masuk,2016,6,2016-06-01
Tanjung Benoa,Juni,,Pintu Masuk,2016,6,2016-06-01
Tanjung Mas,Juni,,Pintu Masuk,2016,6,2016-06-01
Pintu Laut Lainnya,Juni,5061.0,Pintu Masuk Lainnya,2016,6,2016-06-01
C. Pintu Darat,Juni,22609.0,Sub-Total,2016,6,2016-06-01
Jayapura,Juni,,Pintu Masuk,2016,6,2016-06-01
Atambua,Juni,,Pintu Masuk,2016,6,2016-06-01
Entikong,Juni,1515.0,Pintu Masuk,2016,6,2016-06-01
Aruk,Juni,,Pintu Masuk,2016,6,2016-06-01
Nanga Badau,Juni,,Pintu Masuk,2016,6,2016-06-01
Pintu Darat Lainnya,Juni,21094.0,Pintu Masuk Lainnya,2016,6,2016-06-01
Jumlah (A+B+C),Juni,804988.0,Grand Total,2016,6,2016-06-01
Lainnya,Juni,52402.0,Pintu Masuk Lainnya,2016,6,2016-06-01
Total,Juni,857390.0,Grand Total,2016,6,2016-06-01
A. Pintu Udara,Juli,785275.0,Sub-Total,2016,7,2016-07-01
Ngurah Rai,Juli,482201.0,Pintu Masuk,2016,7,2016-07-01
Soekarno-Hatta,Juli,217452.0,Pintu Masuk,2016,7,2016-07-01
Juanda,Juli,20424.0,Pintu Masuk,2016,7,2016-07-01
Kualanamu,Juli,17999.0,Pintu Masuk,2016,7,2016-07-01
Husein Sastranegara,Juli,9453.0,Pintu Masuk,2016,7,2016-07-01
Adi Sucipto,Juli,11177.0,Pintu Masuk,2016,7,2016-07-01
Bandara Int. Lombok,Juli,9653.0,Pintu Masuk,2016,7,2016-07-01
Sam Ratulangi,Juli,7677.0,Pintu Masuk,2016,7,2016-07-01
Minangkabau,Juli,4094.0,Pintu Masuk,2016,7,2016-07-01
Sultan Syarif Kasim II,Juli,2654.0,Pintu Masuk,2016,7,2016-07-01
Sultan Iskandar Muda,Juli,,Pintu Masuk,2016,7,2016-07-01
Ahmad Yani,Juli,,Pintu Masuk,2016,7,2016-07-01
Supadio,Juli,,Pintu Masuk,2016,7,2016-07-01
Hasanuddin,Juli,1370.0,Pintu Masuk,2016,7,2016-07-01
Sultan Badaruddin II,Juli,,Pintu Masuk,2016,7,2016-07-01
Pintu Udara Lainnya,Juli,1121.0,Pintu Masuk Lainnya,2016,7,2016-07-01
B. Pintu Laut,Juli,142820.0,Sub-Total,2016,7,2016-07-01
Batam,Juli,103647.0,Pintu Masuk,2016,7,2016-07-01
Tanjung Uban,Juli,20389.0,Pintu Masuk,2016,7,2016-07-01
Tanjung Pinang,Juli,6932.0,Pintu Masuk,2016,7,2016-07-01
Tanjung Balai Karimun,Juli,7599.0,Pintu Masuk,2016,7,2016-07-01
Tanjung Benoa,Juli,,Pintu Masuk,2016,7,2016-07-01
Tanjung Mas,Juli,,Pintu Masuk,2016,7,2016-07-01
Pintu Laut Lainnya,Juli,4253.0,Pintu Masuk Lainnya,2016,7,2016-07-01
C. Pintu Darat,Juli,28095.0,Sub-Total,2016,7,2016-07-01
Jayapura,Juli,,Pintu Masuk,2016,7,2016-07-01
Atambua,Juli,,Pintu Masuk,2016,7,2016-07-01
Entikong,Juli,2360.0,Pintu Masuk,2016,7,2016-07-01
Aruk,Juli,,Pintu Masuk,2016,7,2016-07-01
Nanga Badau,Juli,,Pintu Masuk,2016,7,2016-07-01
Pintu Darat Lainnya,Juli,25735.0,Pintu Masuk Lainnya,2016,7,2016-07-01
Jumlah (A+B+C),Juli,956190.0,Grand Total,2016,7,2016-07-01
Lainnya,Juli,75312.0,Pintu Masuk Lainnya,2016,7,2016-07-01
Total,Juli,1031502.0,Grand Total,2016,7,2016-07-01
A. Pintu Udara,Agustus,793587.0,Sub-Total,2016,8,2016-08-01
Ngurah Rai,Agustus,437929.0,Pintu Masuk,2016,8,2016-08-01
Soekarno-Hatta,Agustus,270496.0,Pintu Masuk,2016,8,2016-08-01
Juanda,Agustus,19029.0,Pintu Masuk,2016,8,2016-08-01
Kualanamu,Agustus,15890.0,Pintu Masuk,2016,8,2016-08-01
Husein Sastranegara,Agustus,12500.0,Pintu Masuk,2016,8,2016-08-01
Adi Sucipto,Agustus,11718.0,Pintu Masuk,2016,8,2016-08-01
Bandara Int. Lombok,Agustus,9127.0,Pintu Masuk,2016,8,2016-08-01
Sam Ratulangi,Agustus,7904.0,Pintu Masuk,2016,8,2016-08-01
Minangkabau,Agustus,4224.0,Pintu Masuk,2016,8,2016-08-01
Sultan Syarif Kasim II,Agustus,2362.0,Pintu Masuk,2016,8,2016-08-01
Sultan Iskandar Muda,Agustus,,Pintu Masuk,2016,8,2016-08-01
Ahmad Yani,Agustus,,Pintu Masuk,2016,8,2016-08-01
Supadio,Agustus,,Pintu Masuk,2016,8,2016-08-01
Hasanuddin,Agustus,1287.0,Pintu Masuk,2016,8,2016-08-01
Sultan Badaruddin II,Agustus,,Pintu Masuk,2016,8,2016-08-01
Pintu Udara Lainnya,Agustus,1121.0,Pintu Masuk Lainnya,2016,8,2016-08-01
B. Pintu Laut,Agustus,146917.0,Sub-Total,2016,8,2016-08-01
Batam,Agustus,99724.0,Pintu Masuk,2016,8,2016-08-01
Tanjung Uban,Agustus,29491.0,Pintu Masuk,2016,8,2016-08-01
Tanjung Pinang,Agustus,6166.0,Pintu Masuk,2016,8,2016-08-01
Tanjung Balai Karimun,Agustus,6674.0,Pintu Masuk,2016,8,2016-08-01
Tanjung Benoa,Agustus,,Pintu Masuk,2016,8,2016-08-01
Tanjung Mas,Agustus,,Pintu Masuk,2016,8,2016-08-01
Pintu Laut Lainnya,Agustus,4862.0,Pintu Masuk Lainnya,2016,8,2016-08-01
C. Pintu Darat,Agustus,26406.0,Sub-Total,2016,8,2016-08-01
Jayapura,Agustus,,Pintu Masuk,2016,8,2016-08-01
Atambua,Agustus,,Pintu Masuk,2016,8,2016-08-01
Entikong,Agustus,2319.0,Pintu Masuk,2016,8,2016-08-01
Aruk,Agustus,,Pintu Masuk,2016,8,2016-08-01
Nanga Badau,Agustus,,Pintu Masuk,2016,8,2016-08-01
Pintu Darat Lainnya,Agustus,24087.0,Pintu Masuk Lainnya,2016,8,2016-08-01
Jumlah (A+B+C),Agustus,966910.0,Grand Total,2016,8,2016-08-01
Lainnya,Agustus,63444.0,Pintu Masuk Lainnya,2016,8,2016-08-01
Total,Agustus,1030354.0,Grand Total,2016,8,2016-08-01
A. Pintu Udara,September,760591.0,Sub-Total,2016,9,2016-09-01
Ngurah Rai,September,442304.0,Pintu Masuk,2016,9,2016-09-01
Soekarno-Hatta,September,229964.0,Pintu Masuk,2016,9,2016-09-01
Juanda,September,19907.0,Pintu Masuk,2016,9,2016-09-01
Kualanamu,September,19221.0,Pintu Masuk,2016,9,2016-09-01
Husein Sastranegara,September,14995.0,Pintu Masuk,2016,9,2016-09-01
Adi Sucipto,September,10696.0,Pintu Masuk,2016,9,2016-09-01
Bandara Int. Lombok,September,8756.0,Pintu Masuk,2016,9,2016-09-01
Sam Ratulangi,September,5965.0,Pintu Masuk,2016,9,2016-09-01
Minangkabau,September,3329.0,Pintu Masuk,2016,9,2016-09-01
Sultan Syarif Kasim II,September,2822.0,Pintu Masuk,2016,9,2016-09-01
Sultan Iskandar Muda,September,,Pintu Masuk,2016,9,2016-09-01
Ahmad Yani,September,,Pintu Masuk,2016,9,2016-09-01
Supadio,September,,Pintu Masuk,2016,9,2016-09-01
Hasanuddin,September,1511.0,Pintu Masuk,2016,9,2016-09-01
Sultan Badaruddin II,September,,Pintu Masuk,2016,9,2016-09-01
Pintu Udara Lainnya,September,1121.0,Pintu Masuk Lainnya,2016,9,2016-09-01
B. Pintu Laut,September,160347.0,Sub-Total,2016,9,2016-09-01
Batam,September,115052.0,Pintu Masuk,2016,9,2016-09-01
Tanjung Uban,September,25051.0,Pintu Masuk,2016,9,2016-09-01
Tanjung Pinang,September,8474.0,Pintu Masuk,2016,9,2016-09-01
Tanjung Balai Karimun,September,7668.0,Pintu Masuk,2016,9,2016-09-01
Tanjung Benoa,September,,Pintu Masuk,2016,9,2016-09-01
Tanjung Mas,September,,Pintu Masuk,2016,9,2016-09-01
Pintu Laut Lainnya,September,4102.0,Pintu Masuk Lainnya,2016,9,2016-09-01
C. Pintu Darat,September,23900.0,Sub-Total,2016,9,2016-09-01
Jayapura,September,,Pintu Masuk,2016,9,2016-09-01
Atambua,September,,Pintu Masuk,2016,9,2016-09-01
Entikong,September,2148.0,Pintu Masuk,2016,9,2016-09-01
Aruk,September,,Pintu Masuk,2016,9,2016-09-01
Nanga Badau,September,,Pintu Masuk,2016,9,2016-09-01
Pintu Darat Lainnya,September,21752.0,Pintu Masuk Lainnya,2016,9,2016-09-01
Jumlah (A+B+C),September,944838.0,Grand Total,2016,9,2016-09-01
Lainnya,September,62293.0,Pintu Masuk Lainnya,2016,9,2016-09-01
Total,September,1007131.0,Grand Total,2016,9,2016-09-01
A. Pintu Udara,Oktober,757044.0,Sub-Total,2016,10,2016-10-01
Ngurah Rai,Oktober,423140.0,Pintu Masuk,2016,10,2016-10-01
Soekarno-Hatta,Oktober,237914.0,Pintu Masuk,2016,10,2016-10-01
Juanda,Oktober,20819.0,Pintu Masuk,2016,10,2016-10-01
Kualanamu,Oktober,21300.0,Pintu Masuk,2016,10,2016-10-01
Husein Sastranegara,Oktober,17340.0,Pintu Masuk,2016,10,2016-10-01
Adi Sucipto,Oktober,11267.0,Pintu Masuk,2016,10,2016-10-01
Bandara Int. Lombok,Oktober,9500.0,Pintu Masuk,2016,10,2016-10-01
Sam Ratulangi,Oktober,3791.0,Pintu Masuk,2016,10,2016-10-01
Minangkabau,Oktober,4980.0,Pintu Masuk,2016,10,2016-10-01
Sultan Syarif Kasim II,Oktober,3279.0,Pintu Masuk,2016,10,2016-10-01
Sultan Iskandar Muda,Oktober,,Pintu Masuk,2016,10,2016-10-01
Ahmad Yani,Oktober,,Pintu Masuk,2016,10,2016-10-01
Supadio,Oktober,,Pintu Masuk,2016,10,2016-10-01
Hasanuddin,Oktober,2593.0,Pintu Masuk,2016,10,2016-10-01
Sultan Badaruddin II,Oktober,,Pintu Masuk,2016,10,2016-10-01
Pintu Udara Lainnya,Oktober,1121.0,Pintu Masuk Lainnya,2016,10,2016-10-01
B. Pintu Laut,Oktober,155045.0,Sub-Total,2016,10,2016-10-01
Batam,Oktober,114020.0,Pintu Masuk,2016,10,2016-10-01
Tanjung Uban,Oktober,23145.0,Pintu Masuk,2016,10,2016-10-01
Tanjung Pinang,Oktober,6800.0,Pintu Masuk,2016,10,2016-10-01
Tanjung Balai Karimun,Oktober,6724.0,Pintu Masuk,2016,10,2016-10-01
Tanjung Benoa,Oktober,,Pintu Masuk,2016,10,2016-10-01
Tanjung Mas,Oktober,,Pintu Masuk,2016,10,2016-10-01
Pintu Laut Lainnya,Oktober,4356.0,Pintu Masuk Lainnya,2016,10,2016-10-01
C. Pintu Darat,Oktober,35085.0,Sub-Total,2016,10,2016-10-01
Jayapura,Oktober,,Pintu Masuk,2016,10,2016-10-01
Atambua,Oktober,,Pintu Masuk,2016,10,2016-10-01
Entikong,Oktober,1494.0,Pintu Masuk,2016,10,2016-10-01
Aruk,Oktober,,Pintu Masuk,2016,10,2016-10-01
Nanga Badau,Oktober,,Pintu Masuk,2016,10,2016-10-01
Pintu Darat Lainnya,Oktober,33591.0,Pintu Masuk Lainnya,2016,10,2016-10-01
Jumlah (A+B+C),Oktober,947174.0,Grand Total,2016,10,2016-10-01
Lainnya,Oktober,93471.0,Pintu Masuk Lainnya,2016,10,2016-10-01
Total,Oktober,1040645.0,Grand Total,2016,10,2016-10-01
A. Pintu Udara,November,706431.0,Sub-Total,2016,11,2016-11-01
Ngurah Rai,November,396150.0,Pintu Masuk,2016,11,2016-11-01
Soekarno-Hatta,November,219246.0,Pintu Masuk,2016,11,2016-11-01
Juanda,November,23126.0,Pintu Masuk,2016,11,2016-11-01
Kualanamu,November,21083.0,Pintu Masuk,2016,11,2016-11-01
Husein Sastranegara,November,12755.0,Pintu Masuk,2016,11,2016-11-01
Adi Sucipto,November,10209.0,Pintu Masuk,2016,11,2016-11-01
Bandara Int. Lombok,November,7813.0,Pintu Masuk,2016,11,2016-11-01
Sam Ratulangi,November,4270.0,Pintu Masuk,2016,11,2016-11-01
Minangkabau,November,5115.0,Pintu Masuk,2016,11,2016-11-01
Sultan Syarif Kasim II,November,3280.0,Pintu Masuk,2016,11,2016-11-01
Sultan Iskandar Muda,November,,Pintu Masuk,2016,11,2016-11-01
Ahmad Yani,November,,Pintu Masuk,2016,11,2016-11-01
Supadio,November,,Pintu Masuk,2016,11,2016-11-01
Hasanuddin,November,2263.0,Pintu Masuk,2016,11,2016-11-01
Sultan Badaruddin II,November,,Pintu Masuk,2016,11,2016-11-01
Pintu Udara Lainnya,November,1121.0,Pintu Masuk Lainnya,2016,11,2016-11-01
B. Pintu Laut,November,147629.0,Sub-Total,2016,11,2016-11-01
